Appointed by,Date appointed,Division,End of Term,Name,Party,Region
ChrÃ©tien,2001-10-04,Saint John-Kennebecasis,2020-01-24,Joseph Day,Liberal,NB
Mulroney,1990-09-12,Fredericton-York-Sunbury,2014-11-28,NoÃ«l Kinsella,Conservative,NB
Martin,2005-09-21,New Brunswick,2023-04-15,Sandra Lovelace Nicholas,Liberal,NB
Harper,2012-09-06,New Brunswick,2019-11-02,"McIntyre, PaulPaul McIntyre",Conservative,NB
Harper,2009-01-02,New Brunswick,2024-04-14,Percy Paul Mockler,Conservative,NB
Harper,2010-02-28,Saint-Louis-de-Kent,2029-03-02,Rose-May Poirier,Conservative,NB
ChrÃ©tien,2002-12-12,New Brunswick,2030-12-31,Pierrette Ringuette,Liberal,NB
ChrÃ©tien,1997-09-22,Saint-Louis-de-Kent New Brunswick3,2014-12-02,Fernand Robichaud,Liberal,NB
Harper,2009-08-27,New Brunswick,2021-07-27,Carolyn Stewart-Olsen,Conservative,NB
Harper,2009-01-02,New Brunswick,2024-03-26,John D. Wallace,Conservative,NB
Bowell,1896-01-07,Northumberland,1899-01-01,Michael Adams,Conservative,NB
Trudeau,1978-03-23,Northumberland-Miramichi,1990-08-07,Margaret Jean Anderson,Liberal,NB
Bowell,1895-06-19,Victoria,1917-04-21,George Thomas Baird,Conservative,NB
Meighen,1921-11-25,Westmorland,1945-02-28,Frank Black,Conservative,NB
Royal Proclamation,1867-10-23,New Brunswick,1894-03-22,Amos Botsford,Conservative,NB
Borden,1917-01-20,Richibucto,1952-02-16,Thomas-Jean Bourque,Conservative,NB
MacDonald,1880-02-11,Saint John,1893-09-21,John Boyd,Liberal-Conservative,NB
Diefenbaker,1960-09-12,Royal,1967-11-07,Alfred Johnson Brooks,Progressive Conservative,NB
ChrÃ©tien,1994-11-23,New Brunswick,2009-10-31,John Bryden,Liberal,NB
King,1945-04-19,Northumberland-Miramichi,1977-08-19,George Burchill,Liberal,NB
Thompson,1893-03-21,New Brunswick,1895-06-23,Kennedy Burns,Liberal,NB
Laurier,1900-02-01,New Brunswick,1900-07-19,Charles Burpee,Liberal,NB
Mulroney,1993-06-04,Saint John,2001-07-23,Erminie Cohen,Progressive Conservative,NB
