,Name,Political Affiliation at Appointment,Senatorial Designation / Province or Territory,Appointed on the advice of,Term (yyyy.mm.dd),start_date,end_date,reason
0,"Abbott, John Joseph Caldwell",Liberal-Conservative,"Inkerman, Quebec","Macdonald, John Alexander",1887.05.12 - 1893.10.30  (Death),1887-05-12 00:00:00,1893-10-30 00:00:00,Death
1,"Adams, Michael",Conservative (1867-1942),"Northumberland, New Brunswick","Bowell, Mackenzie",1896.01.07 - 1899.01.01  (Death),1896-01-07 00:00:00,1899-01-01 00:00:00,Death
2,"Adams, Willie",Liberal Party of Canada,"Northwest Territories, Northwest Territories","Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22  (Retirement),1977-04-05 00:00:00,2009-06-22 00:00:00,Retirement
3,"Aikins, James Cox",Liberal-Conservative,"Ontario, Ontario",Royal Proclamation,1867.10.23 - 1882.05.30  (Resignation),1867-10-23 00:00:00,1882-05-30 00:00:00,Resignation
4,"Aikins, James Cox",Liberal-Conservative,"Ontario, Ontario","Bowell, Mackenzie",1896.01.07 - 1904.08.06  (Death),1896-01-07 00:00:00,1904-08-06 00:00:00,Death
5,"Aird, John Black",Liberal Party of Canada,"Toronto, Ontario","Pearson, Lester Bowles",1964.11.10 - 1974.11.28  (Resignation),1964-11-10 00:00:00,1974-11-28 00:00:00,Resignation
6,"Alexander, George",Conservative (1867-1942),"Woodstock, Ontario","Macdonald, John Alexander",1873.05.30 - 1891.05.29  (Resignation),1873-05-30 00:00:00,1891-05-29 00:00:00,Resignation
7,"Allan, George William",Conservative (1867-1942),"York, Ontario",Royal Proclamation,1867.10.23 - 1901.07.24  (Death),1867-10-23 00:00:00,1901-07-24 00:00:00,Death
8,"Almon, William Johnston",Liberal-Conservative,"Halifax, Nova Scotia","Macdonald, John Alexander",1879.04.15 - 1901.02.18  (Death),1879-04-15 00:00:00,1901-02-18 00:00:00,Death
9,"Anderson, Doris Margaret",Liberal Party of Canada,"St. Peter's, Kings County, Prince Edward Island","Chrétien, Joseph Jacques Jean",1995.09.21 - 1997.07.05  (Retirement),1995-09-21 00:00:00,1997-07-05 00:00:00,Retirement
10,"Anderson, John Hawkins",Liberal Party of Canada,"Nova Scotia, Nova Scotia",Royal Proclamation,1867.10.23 - 1870.12.24  (Death),1867-10-23 00:00:00,1870-12-24 00:00:00,Death
11,"Anderson, Margaret Jean",Liberal Party of Canada,"Northumberland-Miramichi, New Brunswick","Trudeau, Pierre Elliott",1978.03.23 - 1990.08.07  (Retirement),1978-03-23 00:00:00,1990-08-07 00:00:00,Retirement
12,"Andreychuk, Raynell",Progressive Conservative Party,"Saskatchewan, Saskatchewan","Mulroney, Martin Brian",1993.03.11 -,1993-03-11 00:00:00,,
13,"Angers, Auguste Réal",Conservative (1867-1942),"De la Vallière, Quebec","Thompson, John Sparrow David",1892.12.16 - 1896.06.10  (Resignation),1892-12-16 00:00:00,1896-06-10 00:00:00,Resignation
14,"Angus, W. David",Progressive Conservative Party,"Alma, Quebec","Mulroney, Martin Brian",1993.06.10 - 2012.07.21  (Retirement),1993-06-10 00:00:00,2012-07-21 00:00:00,Retirement
15,"Archibald, Thomas Dickson",Liberal-Conservative,"North Sydney, Nova Scotia",Royal Proclamation,1867.10.23 - 1890.10.18  (Death),1867-10-23 00:00:00,1890-10-18 00:00:00,Death
16,"Argue, Hazen Robert",Liberal Party of Canada,"Regina, Saskatchewan","Pearson, Lester Bowles",1966.02.24 - 1991.10.02  (Death),1966-02-24 00:00:00,1991-10-02 00:00:00,Death
17,"Armand, Joseph François",Conservative (1867-1942),"Repentigny, Quebec",Royal Proclamation,1867.10.23 - 1903.01.01  (Death),1867-10-23 00:00:00,1903-01-01 00:00:00,Death
18,"Arsenault, Joseph Octave",Conservative (1867-1942),"Prince Edward Island, Prince Edward Island","Bowell, Mackenzie",1895.02.18 - 1897.12.14  (Death),1895-02-18 00:00:00,1897-12-14 00:00:00,Death
19,"Arthurs, James",Conservative (1867-1942),"Ontario, Ontario","Bennett, Richard Bedford",1935.07.20 - 1937.10.07  (Death),1935-07-20 00:00:00,1937-10-07 00:00:00,Death
20,"Aseltine, Walter Morley",Conservative (1867-1942),"Rosetown, Saskatchewan","Bennett, Richard Bedford",1933.12.30 - 1971.03.31  (Resignation),1933-12-30 00:00:00,1971-03-31 00:00:00,Resignation
21,"Asselin, Martial",Progressive Conservative Party,"Stadacona, Quebec","Trudeau, Pierre Elliott",1972.09.01 - 1990.08.07  (Resignation),1972-09-01 00:00:00,1990-08-07 00:00:00,Resignation
22,"Ataullahjan, Salma",Conservative Party of Canada,"Toronto, Ontario","Harper, Stephen",2010.07.09 -,2010-07-09 00:00:00,,
23,"Atkins, Norman K.",Progressive Conservative Party,"Markham, Ontario","Mulroney, Martin Brian",1986.06.30 - 2009.06.27  (Retirement),1986-06-30 00:00:00,2009-06-27 00:00:00,Retirement
24,"Austin, Jack",Liberal Party of Canada,"Vancouver South, British Columbia","Trudeau, Pierre Elliott",1975.08.19 - 2007.03.02  (Retirement),1975-08-19 00:00:00,2007-03-02 00:00:00,Retirement
25,"Aylesworth, Allen Bristol",Liberal Party of Canada,"North York, Ontario","King, William Lyon Mackenzie",1923.01.11 - 1952.02.13  (Death),1923-01-11 00:00:00,1952-02-13 00:00:00,Death
26,"Bacon, Lise",Liberal Party of Canada,"De la Durantaye, Quebec","Chrétien, Joseph Jacques Jean",1994.09.15 - 2009.08.25  (Retirement),1994-09-15 00:00:00,2009-08-25 00:00:00,Retirement
27,"Baillargeon, Pierre",Liberal Party of Canada,"Stadacona, Quebec","Mackenzie, Alexander",1874.03.27 - 1891.12.15  (Death),1874-03-27 00:00:00,1891-12-15 00:00:00,Death
28,"Baird, Alexander Boyd",Liberal Party of Canada,"St. John's, Newfoundland and Labrador","St-Laurent, Louis Stephen",1949.08.17 - 1967.11.23  (Death),1949-08-17 00:00:00,1967-11-23 00:00:00,Death
29,"Baird, George Thomas",Conservative (1867-1942),"Victoria, New Brunswick","Bowell, Mackenzie",1895.06.19 - 1917.04.21  (Death),1895-06-19 00:00:00,1917-04-21 00:00:00,Death
30,"Baker, George",Liberal Party of Canada,"Newfoundland and Labrador, Newfoundland and Labrador","Chrétien, Joseph Jacques Jean",2002.03.26 -,2002-03-26 00:00:00,,
31,"Baker, George Barnard",Liberal-Conservative,"Bedford, Quebec","Bowell, Mackenzie",1896.01.07 - 1910.02.09  (Death),1896-01-07 00:00:00,1910-02-09 00:00:00,Death
32,"Balfour, James",Progressive Conservative Party,"Regina, Saskatchewan","Clark, Charles Joseph",1979.09.13 - 1999.12.12  (Death),1979-09-13 00:00:00,1999-12-12 00:00:00,Death
33,"Ballantyne, Charles Colquhoun",Conservative (1867-1942),"Alma, Quebec","Bennett, Richard Bedford",1932.02.03 - 1950.10.19  (Death),1932-02-03 00:00:00,1950-10-19 00:00:00,Death
34,"Banks, Tommy",Liberal Party of Canada,"Alberta, Alberta","Chrétien, Joseph Jacques Jean",2000.04.07 - 2011.12.17  (Retirement),2000-04-07 00:00:00,2011-12-17 00:00:00,Retirement
35,"Barbour, George Hilton",Liberal Party of Canada,"Prince, Prince Edward Island","St-Laurent, Louis Stephen",1949.07.06 - 1962.02.06  (Death),1949-07-06 00:00:00,1962-02-06 00:00:00,Death
